step,spectral_efficiency_bps_hz,throughput_bits,total_queue_bits,ric_latency_ms,reward
1,5.555027,55550.27,120521.73,0.176316,55538.22
2,6.363380,63633.80,234751.93,0.160079,63610.32
3,8.277270,82772.70,326883.24,0.155735,82740.01
4,5.340736,53407.36,450379.88,0.156153,53362.32
5,8.635203,86352.03,540291.85,0.158516,86298.00
6,5.738366,57383.66,659044.18,0.156709,57317.76
7,8.643990,86439.90,748828.29,0.155849,86365.01
8,6.148077,61480.77,864571.52,0.161112,61394.31
9,7.400729,74007.29,968964.23,0.210677,73910.40
10,10.507279,105072.79,1040563.44,0.160492,104968.73
11,4.854907,48549.07,1165990.37,0.157272,48432.47
12,9.165409,91654.09,1249368.28,0.158193,91529.16
13,11.844586,118445.86,1307154.41,0.152015,118315.15
14,5.816508,58165.08,1425509.33,0.156560,58022.53
15,6.068822,60688.22,1540533.11,0.155753,60534.17
16,5.898682,58986.82,1658506.29,0.161176,58820.97
17,8.210598,82105.98,1753296.31,0.154446,81930.65
18,4.264774,42647.74,1886616.58,0.152939,42459.07
19,6.600215,66002.15,1996910.43,0.153712,65802.45
20,7.286674,72866.74,2099251.69,0.155705,72656.82
21,7.750900,77509.00,2199710.69,0.158419,77289.02
22,4.002913,40029.13,2335697.57,0.155115,39795.56
23,7.977904,79779.04,2431166.52,0.161116,79535.93
24,3.779381,37793.81,2570452.71,0.155223,37536.76
25,7.691250,76912.50,2669212.22,0.155636,76645.57
26,6.335900,63359.00,2782701.22,0.157558,63080.73
27,3.110358,31103.58,2926245.63,0.156202,30810.96
28,5.235432,52354.32,3050955.31,0.155336,52049.23
29,8.842328,88423.28,3137372.03,0.155386,88109.54
30,11.138619,111386.19,3202257.84,0.209703,111065.96
31,4.193087,41930.87,3334990.98,0.211300,41597.37
32,10.355443,103554.43,3408148.55,0.155471,103213.61
33,7.245168,72451.68,3510040.87,0.157819,72100.68
34,4.933870,49338.70,3637454.16,0.154272,48974.96
35,9.309891,93098.91,3719579.26,0.156892,92726.95
36,4.051370,40513.70,3856417.56,0.153884,40128.05
37,2.763921,27639.21,4004362.35,0.155332,27238.77
38,12.693415,126934.15,4051916.20,0.156351,126528.96
39,6.175086,61750.86,4168565.34,0.153850,61334.00
40,3.558574,35585.74,4308107.60,0.154733,35154.93
41,12.149571,121495.71,4362347.90,0.159945,121059.47
42,8.506153,85061.53,4452894.37,0.222460,84616.24
43,9.725257,97252.57,4531121.79,0.158328,96799.46
44,3.341391,33413.91,4673979.88,0.156888,32946.51
45,5.842659,58426.59,4791225.29,0.157134,57947.47
46,3.151620,31516.20,4935325.09,0.156429,31022.66
47,8.351809,83518.09,5027015.00,0.154957,83015.39
48,1.697740,16977.40,5184493.60,0.155678,16458.95
49,14.362266,143622.66,5218350.94,0.154153,143100.83
50,4.717262,47172.62,5348298.31,0.153450,46637.79
51,3.382843,33828.43,5488813.88,0.154698,33279.55
52,5.514975,55149.75,5610104.13,0.155057,54588.74
53,4.767687,47676.87,5738195.26,0.153593,47103.05
54,3.913411,39134.11,5874461.15,0.155697,38546.67
55,6.956660,69566.60,5980870.55,0.153513,68968.51
56,3.376191,33761.91,6123276.64,0.155020,33149.58
57,8.489527,84895.27,6213357.37,0.153246,84273.93
58,14.874635,148746.35,6241083.02,0.156918,148122.24
59,5.343423,53434.23,6361768.80,0.155118,52798.05
60,6.450475,64504.75,6472336.05,0.154607,63857.51
61,4.511478,45114.78,6604229.27,0.159028,44454.36
62,5.394179,53941.79,6727311.48,0.202622,53269.06
63,9.941568,99415.68,6805135.81,0.155222,98735.16
64,8.030499,80304.99,6899462.81,0.161472,79615.05
65,6.061018,60610.18,7015276.63,0.155713,59908.65
66,3.018701,30187.01,7161073.62,0.188277,29470.90
67,4.582472,45824.72,7290344.90,0.154651,45095.69
68,9.595215,95952.15,7370176.74,0.153764,95215.14
69,7.477973,74779.73,7469301.01,0.153123,74032.80
70,7.820445,78204.45,7568720.56,0.152553,77447.58
71,4.378542,43785.42,7700999.14,0.155354,43015.32
72,11.926423,119264.23,7758390.92,0.153949,118488.39
73,5.108844,51088.44,7885470.48,0.153209,50299.89
74,5.915886,59158.86,7999927.61,0.155026,58358.87
75,5.699161,56991.61,8119568.01,0.153175,56179.65
76,7.093782,70937.82,8224766.18,0.154290,70115.35
77,9.794488,97944.88,8300213.30,0.157594,97114.86
78,9.132620,91326.20,8387287.11,0.204829,90487.47
79,4.216007,42160.07,8522047.03,0.157991,41307.87
80,7.517016,75170.16,8622420.88,0.158503,74307.91
81,5.835036,58350.36,8738246.52,0.154375,57476.53
82,7.077597,70775.97,8841966.55,0.157666,69891.77
83,16.286545,162865.45,8856085.10,0.154432,161979.85
84,4.798832,47988.32,8985096.78,0.154844,47089.81
85,9.103317,91033.17,9069271.61,0.156422,90126.24
86,6.772059,67720.59,9176143.02,0.154977,66802.98
