agent,num_ues,carrier_freq_ghz,bandwidth_mhz,cbr_profile,speed_profile,seed,num_steps,spectral_efficiency_bps_hz,queue_delay_p95_ms,ric_latency_mean_ms,total_reward,mean_throughput_bits,mean_queue_bits
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",42,5,8.082720,0.0000,0.010079,404136.00,80827.20,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",43,5,7.961120,0.0000,0.010507,398056.00,79611.20,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",44,5,7.980960,0.0000,0.010077,399048.00,79809.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",45,5,7.941440,0.0000,0.062564,397071.94,79414.40,120.84
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",46,5,8.077440,0.0000,0.009707,403872.00,80774.40,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",47,5,8.003200,0.0000,0.010579,400160.00,80032.00,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",48,5,7.959360,0.0000,0.010746,397968.00,79593.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",50,5,7.988160,0.0000,0.008986,399408.00,79881.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",49,5,8.017280,0.0000,0.010619,400864.00,80172.80,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(0.0,)",51,5,8.003840,0.0000,0.010300,400192.00,80038.40,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(0.0,)",43,5,7.961120,0.0000,0.010843,398056.00,79611.20,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(0.0,)",42,5,8.082720,0.0000,0.010267,404136.00,80827.20,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(0.0,)",44,5,7.980960,0.0000,0.009231,399048.00,79809.60,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(0.0,)",45,5,7.934049,0.0115,0.009548,396702.08,79340.49,766.96
RoundRobin,10,2.0,10.0,"(1000,)","(0.0,)",47,5,8.003200,0.0000,0.009038,400160.00,80032.00,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(0.0,)",46,5,8.077440,0.0000,0.037035,403871.98,80774.40,37.31
